Fighter1,F1_Height,F1_Weight,F1_Reach,F1_DOB,F1_profile_url,Fighter2,F2_Height,F2_Weight,F2_Reach,F2_DOB,F2_profile_url,F1_result,F2_result,F1_KD,F2_KD,F1_SS_hit,F1_SS_att,F2_SS_hit,F2_SS_att,F1_totalStrikes_hit,F1_totalStrikes_att,F2_totalStrikes_hit,F2_totalStrikes_att,F1_TD_conv,F1_TD_att,F2_TD_conv,F2_TD_att,F1_Sub,F2_Sub,F1_pass,F2_pass,F1_rev,F2_rev,F1_head_hit,F1_head_att,F2_head_hit,F2_head_att,F1_body_conv,F1_body_att,F2_body_conv,F2_body_att,F1_leg_conv,F1_leg_att,F2_leg_conv,F2_leg_att,F1_distance_conv,F1_distance_att,F2_distance_conv,F2_distance_att,F1_clinch_conv,F1_clinch_att,F2_clinch_conv,F2_clinch_att,F1_ground_conv,F1_ground_att,F2_ground_conv,F2_ground_att,Date,Location,Attendance
Jan Blachowicz,74,205,78,1983-02-24 00:00:00,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,Jacare Souza,73.0,185.0,72.0,1979-12-07 00:00:00,http://www.ufcstats.com/fighter-details/7a703c565ccaa18f,W,L,0,0,71,170,20,48,105,205,56,88,0,0,0,5,0,0,0,0,0,0,38,121,8,28,13,20,3,10,20,29,9,10,59,154,18,45,12,16.0,2.0,3.0,0.0,0.0,0.0,0.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Mauricio Rua,73,205,76,1981-11-25 00:00:00,http://www.ufcstats.com/fighter-details/140745cbbcb023ac,Paul Craig,75.0,205.0,76.0,1987-11-27 00:00:00,http://www.ufcstats.com/fighter-details/eabf206b162b3b83,D,D,0,0,25,66,51,99,51,108,106,160,1,3,1,4,0,1,1,1,0,0,19,57,30,71,1,2,14,20,5,7,7,8,16,48,39,82,1,1.0,9.0,13.0,8.0,17.0,3.0,4.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Charles Oliveira,70,155,74,1989-10-17 00:00:00,http://www.ufcstats.com/fighter-details/07225ba28ae309b6,Jared Gordon,69.0,155.0,68.0,1988-09-06 00:00:00,http://www.ufcstats.com/fighter-details/7026eca45f65377b,W,L,1,0,10,16,7,18,10,16,7,18,0,1,0,0,0,0,0,0,0,0,5,9,7,16,1,3,0,2,4,4,0,0,8,14,7,18,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Antonio Arroyo,75,185,73,1989-07-01 00:00:00,http://www.ufcstats.com/fighter-details/61fb8098ccf81c7f,Andre Muniz,74.0,185.0,,1990-02-17 00:00:00,http://www.ufcstats.com/fighter-details/886264a0c9f4ea5e,L,W,0,0,29,47,22,42,47,67,85,128,1,1,3,7,0,2,0,2,1,0,20,35,12,30,5,7,8,10,4,5,2,2,21,36,20,40,0,0.0,1.0,1.0,8.0,11.0,1.0,1.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Markus Perez,73,185,73,1988-06-22 00:00:00,http://www.ufcstats.com/fighter-details/2ac4628c08ec5125,Wellington Turman,72.0,185.0,72.0,1996-07-22 00:00:00,http://www.ufcstats.com/fighter-details/4dcfb28c011c11b2,L,W,0,0,49,96,48,120,56,103,59,132,0,1,2,9,0,0,0,1,0,0,33,72,35,103,13,21,8,12,3,3,5,5,26,67,23,91,21,26.0,19.0,21.0,2.0,3.0,6.0,8.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Sergio Moraes,72,170,72,1982-07-23 00:00:00,http://www.ufcstats.com/fighter-details/1bcaac2d99b90fce,James Krause,74.0,170.0,73.0,1986-06-04 00:00:00,http://www.ufcstats.com/fighter-details/8f6a18831a120817,L,W,0,3,41,99,102,174,42,100,125,200,1,4,0,0,0,0,1,1,0,1,36,91,79,148,3,6,7,10,2,2,16,16,41,99,97,166,0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Ricardo Ramos,66,135,69,1995-08-01 00:00:00,http://www.ufcstats.com/fighter-details/1ae8f3c723aacff4,Eduardo Garagorri,69.0,145.0,70.0,1989-05-28 00:00:00,http://www.ufcstats.com/fighter-details/7bde387d50829adf,W,L,0,0,10,34,6,16,12,36,6,16,2,3,0,0,1,0,1,0,0,0,3,23,3,11,3,4,3,4,4,7,0,1,9,33,6,16,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Francisco Trinaldo,69,155,70,1978-08-24 00:00:00,http://www.ufcstats.com/fighter-details/a8283a4f415e1eb9,Bobby Green,70.0,155.0,71.0,1986-09-09 00:00:00,http://www.ufcstats.com/fighter-details/887961364be5ceb3,W,L,0,0,31,122,50,115,36,127,67,135,1,2,2,2,1,0,0,4,0,0,20,100,27,77,5,14,13,24,6,8,10,14,26,109,43,106,5,13.0,1.0,2.0,0.0,0.0,6.0,7.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Warlley Alves,71,170,72,1991-01-04 00:00:00,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,Randy Brown,75.0,170.0,78.0,1990-07-08 00:00:00,http://www.ufcstats.com/fighter-details/c6aee362c7a7d482,L,W,0,0,3,11,16,30,8,18,24,38,3,3,1,1,2,1,3,1,0,1,1,8,11,23,0,0,3,4,2,3,2,3,1,9,9,18,0,0.0,3.0,5.0,2.0,2.0,4.0,7.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
Douglas Silva de Andrade,67,135,68,1985-06-22 00:00:00,http://www.ufcstats.com/fighter-details/3a314d9fa7c6825d,Renan Barao,66.0,135.0,70.0,1987-01-31 00:00:00,http://www.ufcstats.com/fighter-details/2c99576fefe53c7c,W,L,0,0,74,163,58,158,100,190,140,241,0,0,2,9,0,0,0,1,0,0,51,127,31,115,15,27,14,25,8,9,13,18,68,156,49,147,4,4.0,7.0,8.0,2.0,3.0,2.0,3.0,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",10344
